,symbol,sector
0,REGN,Healthcare
1,AMOT,Technology
2,RELX,Communication Services
3,AMRN,Healthcare
4,RES,Energy
5,AMX,Communication Services
6,GTHX,Healthcare
7,AMZN,Consumer Cyclical
8,RFI,Financial Services
9,ANF,Consumer Cyclical
10,DYAI,Healthcare
11,RGS,Consumer Cyclical
12,AON,Financial Services
13,GTLS,Industrials
14,OTIC,Healthcare
15,APA,Energy
16,RHI,Industrials
17,LND,Consumer Defensive
18,APD,Basic Materials
19,OTLK,Healthcare
20,RIG,Energy
21,ARE,Real Estate
22,DZSI,Technology
23,ARL,Real Estate
24,RMCF,Consumer Defensive
25,AROW,Financial Services
26,RMT,Financial Services
27,ARTW,Industrials
28,ARW,Technology
29,ARWR,Healthcare
30,ASB,Financial Services
31,OVID,Healthcare
32,ASH,Basic Materials
33,ASTE,Industrials
34,ASUR,Technology
35,EAI,NA
36,JRVR,Financial Services
37,ROST,Consumer Cyclical
38,ROP,Industrials
39,OXLCM,Financial Services
40,LOV,Communication Services
41,OXSQ,Financial Services
42,ATRI,Healthcare
43,VQS,Technology
44,LPG,Energy
45,ATVI,Communication Services
46,RSG,Industrials
47,BR,Technology
48,AU,Basic Materials
49,LPL,Technology
50,RTX,Industrials
51,VRNT,Technology
52,AUDC,Technology
53,AVA,Utilities
54,EBR-B,Utilities
55,EBTC,Financial Services
56,LRFC,Financial Services
57,VSTM,Healthcare
58,SLRC,Financial Services
59,SLS,Healthcare
60,H,Consumer Cyclical
61,VTSI,Industrials
62,SAM,Consumer Defensive
63,VTVT,Healthcare
64,PALT,Technology
65,EDD,Financial Services
66,LSXMA,Communication Services
67,LSXMB,Communication Services
68,SBGI,Communication Services
69,SMCI,Technology
70,VUZI,Technology
71,EDN,Utilities
72,AXGN,Healthcare
73,PARAA,Communication Services
74,SBUX,Consumer Cyclical
75,SCHL,Communication Services
76,SMFG,Financial Services
77,AXP,Financial Services
78,SCS,Industrials
79,LTRPA,Communication Services
80,PATI,Industrials
81,AXR,Real Estate
82,PAVM,Healthcare
83,HALO,Healthcare
84,AZN,Healthcare
85,SMLP,Energy
86,SEIC,Financial Services
87,LULU,Consumer Cyclical
88,SF,Financial Services
89,BRTX,Healthcare
90,SGEN,Healthcare
91,BRX,Real Estate
92,SGMA,Technology
93,BANF,Financial Services
94,BANR,Financial Services
95,BAP,Financial Services
96,PBLA,Healthcare
97,WB,Communication Services
98,EGO,Basic Materials
99,SMTI,Healthcare
100,SHEL,Energy
101,BB,Technology
102,LVS,Consumer Cyclical
103,EHTH,Financial Services
104,BBD,Financial Services
105,EIGR,Healthcare
106,BSIG,Financial Services
107,BBSI,Industrials
108,BBWI,Consumer Cyclical
109,SIRI,Communication Services
110,EKSO,Healthcare
111,SJR,Communication Services
112,BSMX,Financial Services
113,SNOA,Healthcare
114,SKT,Real Estate
115,BCS,Financial Services
116,ELC,NA
117,SLAB,Technology
118,SLG,Real Estate
119,ELDN,Healthcare
120,BDC,Technology
121,PDLB,Financial Services
122,BTB,Consumer Cyclical
123,HEAR,Technology
124,SNX,Technology
125,MSA,Industrials
126,SM,Energy
127,PDSB,Healthcare
128,SMBK,Financial Services
129,ELOX,Healthcare
130,SNDA,Healthcare
131,SOI,Energy
132,SOJC,NA
133,BTU,Energy
134,SNPS,Technology
135,SNT,Industrials
136,WF,Financial Services
137,BUD,Consumer Defensive
138,WFC-PQ,Financial Services
139,WFC-PR,Financial Services
140,SOFO,Technology
141,SOHU,Communication Services
142,SONY,Technology
143,SONN,Healthcare
144,SPH,Utilities
145,SPNS,Technology
146,HFFG,Consumer Defensive
147,SPPI,Healthcare
148,BURL,Consumer Cyclical
149,HGEN,Healthcare
150,BHLB,Financial Services
151,EMCG,NA
152,SRCE,Financial Services
153,MANU,Communication Services
154,PETV,Healthcare
155,BIO,Healthcare
156,BK,Financial Services
157,SPCB,Industrials
158,SPCE,Industrials
159,BWEN,Industrials
160,HI,Industrials
161,SSL,Basic Materials
162,PFIE,Energy
163,BLK,Financial Services
164,BMO,Financial Services
165,BMRC,Financial Services
166,BWXT,Industrials
167,STC,Financial Services
168,BMRN,Healthcare
169,BMY,Healthcare
170,STE,Healthcare
171,BXC,Industrials
172,STRA,Consumer Defensive
173,BY,Financial Services
174,STRT,Consumer Cyclical
175,STT,Financial Services
176,STZ,Consumer Defensive
177,WK,Technology
178,HIVE,Financial Services
179,BYSI,Healthcare
180,WLDN,Industrials
181,MBIO,Healthcare
182,SWBI,Industrials
183,MBRX,Healthcare
184,SWKS,Technology
185,PGTI,Industrials
186,BRC,Industrials
187,MBUU,Consumer Cyclical
188,SWX,Utilities
189,MC,Financial Services
190,BRK-B,Financial Services
191,SXT,Basic Materials
192,BRKL,Financial Services
193,BRKR,Healthcare
194,SYBT,Financial Services
195,MCB,Financial Services
196,BSAC,Financial Services
197,PHIO,Healthcare
198,T,Communication Services
199,TAC,Utilities
200,HLNE,Financial Services
201,SPNT,Financial Services
202,BSRR,Financial Services
203,BTI,Consumer Defensive
204,BSX,Healthcare
205,TAP,Consumer Defensive
206,MCFT,Consumer Cyclical
207,ENIC,Utilities
208,ABST,Technology
209,TATT,Industrials
210,WNEB,Financial Services
211,SPRO,Healthcare
212,TCX,Technology
213,ABVC,Healthcare
214,ENLV,Healthcare
215,AC,Financial Services
216,TDF,Financial Services
217,TDS,Communication Services
218,ACAD,Healthcare
219,TDW,Energy
220,TDY,Technology
221,ACB,Healthcare
222,TECH,Healthcare
223,BVN,Basic Materials
224,BWA,Consumer Cyclical
225,ACCO,Industrials
226,WORX,Healthcare
227,SQ,Technology
228,MCVT,Financial Services
229,TEX,Industrials
230,ENVA,Financial Services
231,C,Financial Services
232,ACGLO,Financial Services
233,HNNA,Financial Services
234,TGI,Industrials
235,MDGL,Healthcare
236,ACIU,Healthcare
237,CAG,Consumer Defensive
238,CADE,Financial Services
239,SRG-PA,Real Estate
240,ACMR,Technology
241,WSBC,Financial Services
242,CAL,Consumer Cyclical
243,PK,Real Estate
244,ACOR,Healthcare
245,THRM,Consumer Cyclical
246,CARV,Financial Services
247,HONE,Financial Services
248,ACR,Real Estate
249,EPAM,Technology
250,CASI,Healthcare
251,TJX,Consumer Cyclical
252,CASS,Industrials
253,CASY,Consumer Cyclical
254,HOVNP,Consumer Cyclical
255,CATO,Consumer Cyclical
256,CAT,Industrials
257,TLF,Consumer Cyclical
258,MDXG,Healthcare
259,SCWO,Industrials
260,TLK,Communication Services
261,CB,Financial Services
262,HPP,Real Estate
263,ACST,Healthcare
264,ACTG,Industrials
265,CBRL,Consumer Cyclical
266,CBT,Basic Materials
267,MEDS,Healthcare
268,CBZ,Industrials
269,TPC,Industrials
270,TOWN,Financial Services
271,MEIP,Healthcare
272,EQBK,Financial Services
273,SSNT,Technology
274,ADAP,Healthcare
275,CCNE,Financial Services
276,CCRD,Technology
277,TRIB,Healthcare
278,CAPR,Healthcare
279,ADES,Industrials
280,WTI,Energy
281,META,Communication Services
282,TRMK,Financial Services
283,MET-PA,Financial Services
284,CDE,Basic Materials
285,CARG,Communication Services
286,PLYM,Real Estate
287,STAR-PD,Real Estate
288,TRV,Financial Services
289,STAR-PI,Real Estate
290,CENT,Consumer Defensive
291,CEQP,Energy
292,PM,Consumer Defensive
293,TSBK,Financial Services
294,WU,Financial Services
295,MFIC,Financial Services
296,TSCO,Consumer Cyclical
297,TSRI,Technology
298,WVVIP,Consumer Defensive
299,STCN,Communication Services
300,HSDT,Healthcare
301,TTEC,Technology
302,TT,Industrials
303,CGRN,Industrials
304,ADNT,Consumer Cyclical
305,CHCO,Financial Services
306,MG,Industrials
307,CHD,Consumer Defensive
308,CHE,Healthcare
309,TU,Communication Services
310,CHH,Consumer Cyclical
311,CHS,Consumer Cyclical
312,STGW,Communication Services
313,HSON,Industrials
314,PMTS,Financial Services
315,CIG,Utilities
316,STKS,Consumer Cyclical
317,CIGI,Real Estate
318,CIR,Industrials
319,WYNN,Consumer Cyclical
320,TWI,Industrials
321,CIVB,Financial Services
322,CIZN,Financial Services
323,TWIN,Industrials
324,ERO,Basic Materials
325,CLDX,Healthcare
326,SNA,Industrials
327,XAIR,Healthcare
328,CLH,Industrials
329,ADVM,Healthcare
330,TY,Financial Services
331,XBIO,Healthcare
332,XBIT,Healthcare
333,UBCP,Financial Services
334,CM,Financial Services
335,UBA,Real Estate
336,CMA,Financial Services
337,UBP,Real Estate
338,CMCSA,Communication Services
339,UBSI,Financial Services
340,MHI,Financial Services
341,UDR,Real Estate
342,MHLD,Financial Services
343,PNNT,Financial Services
344,UFI,Consumer Cyclical
345,UFPI,Basic Materials
346,UFPT,Healthcare
347,UGI,Utilities
348,HTGM,Healthcare
349,UG,Consumer Defensive
350,HTHT,Consumer Cyclical
351,CNOB,Financial Services
352,CNQ,Energy
353,UIS,Technology
354,CBO,Industrials
355,ULBI,Industrials
356,COF,Financial Services
357,UMBF,Financial Services
358,AEHL,Industrials
359,UMC,Technology
360,COLB,Financial Services
361,COLM,Consumer Cyclical
362,UNAM,Financial Services
363,CP,Industrials
364,STT-PD,Financial Services
365,UNF,Industrials
366,CPF,Financial Services
367,XENE,Healthcare
368,UONEK,Communication Services
369,CR,Industrials
370,CRAI,Industrials
371,URI,Industrials
372,CRESY,Industrials
373,CRF,Financial Services
374,CRH,Basic Materials
375,HUBS,Technology
376,CRK,Energy
377,CRVL,Financial Services
378,MITT-PB,Real Estate
379,CSGP,Real Estate
380,USPH,Healthcare
381,AFBI,Financial Services
382,CSR,Real Estate
383,CSV,Consumer Cyclical
384,UTL,Utilities
385,XIN,Real Estate
386,UTMD,Healthcare
387,UTSI,Technology
388,UVSP,Financial Services
389,AFMD,Healthcare
390,UVV,Consumer Defensive
391,CTIC,Healthcare
392,CTSH,Technology
393,POWW,Industrials
394,CUK,Consumer Cyclical
395,CULP,Consumer Cyclical
396,CUZ,Real Estate
397,CVBF,Financial Services
398,ETSY,Consumer Cyclical
399,CW,Industrials
400,CWBC,Financial Services
401,CWCO,Utilities
402,AGNC,Real Estate
403,CCM,Healthcare
404,SUPV,Financial Services
405,PPIH,Industrials
406,CX,Basic Materials
407,VEON,Communication Services
408,CCOI,Communication Services
409,DAIO,Technology
410,DCI,Industrials
411,PPSI,Industrials
412,DDD,Technology
413,DDS,Consumer Cyclical
414,VFC,Consumer Cyclical
415,DE,Industrials
416,DECK,Consumer Cyclical
417,GPP,Energy
418,EVA,Basic Materials
419,DGICA,Financial Services
420,DGICB,Financial Services
421,DHI,Consumer Cyclical
422,AHT-PH,Real Estate
423,AHT-PI,Real Estate
424,SVFD,Basic Materials
425,DIN,Consumer Cyclical
426,AIC,Industrials
427,MLVF,Financial Services
428,HZNP,Healthcare
429,XPO,Industrials
430,VIRC,Consumer Cyclical
431,VIV,Communication Services
432,EVRI,Consumer Cyclical
433,VLGEA,Consumer Defensive
434,CDNA,Healthcare
435,VMI,Industrials
436,DRRX,Healthcare
437,MMMB,Consumer Defensive
438,DSGX,Technology
439,VOD,Communication Services
440,CDR-PC,Real Estate
441,PRIM,Industrials
442,DSU,Financial Services
443,VRE,Real Estate
444,CDTX,Healthcare
445,DVA,Healthcare
446,CE,Basic Materials
447,MMYT,Consumer Cyclical
448,PRLB,Industrials
449,DXLG,Consumer Cyclical
450,DXPE,Industrials
451,DXR,Healthcare
452,EAT,Consumer Cyclical
453,EBF,Industrials
454,XTLB,Healthcare
455,MNKD,Healthcare
456,MNMD,Healthcare
457,MNOV,Healthcare
458,VZ,Communication Services
459,EDAP,Healthcare
460,VRA,Consumer Cyclical
461,EEA,Financial Services
462,EEFT,Technology
463,WABC,Financial Services
464,EGAN,Technology
465,WAVD,Technology
466,EGHT,Technology
467,EGP,Real Estate
468,EIX,Utilities
469,WBA,Healthcare
470,WBS,Financial Services
471,IBTX,Financial Services
472,AJX,Real Estate
473,WCN,Industrials
474,CEMI,Healthcare
475,WDFC,Basic Materials
476,ELP,Utilities
477,CENN,Consumer Cyclical
478,CENTA,Consumer Defensive
479,WERN,Industrials
480,ICCH,Financial Services
481,EXK,Basic Materials
482,ENR,Industrials
483,MOGO,Technology
484,ENTG,Technology
485,PRTA,Healthcare
486,ENZ,Healthcare
487,WGO,Consumer Cyclical
488,EPD,Energy
489,ICFI,Industrials
490,EQS,Financial Services
491,WIRE,Industrials
492,ERF,Energy
493,ERJ,Industrials
494,WLYB,Communication Services
495,AKTS,Technology
496,ESE,Technology
497,AKTX,Healthcare
498,ESGR,Financial Services
499,WMB,Energy
500,SYF,Financial Services
501,BSBR,Financial Services
502,WMK,Consumer Defensive
503,ICMB,Financial Services
504,CETX,Technology
505,WMT,Consumer Defensive
506,WOLF,Technology
507,CAF,Financial Services
508,WOR,Industrials
509,SYNA,Technology
510,WPP,Communication Services
511,ICPT,Healthcare
512,SYNH,Healthcare
513,YELP,Communication Services
514,WRB,Financial Services
515,MOXC,Communication Services
516,PSA-PF,Real Estate
517,EYE,Consumer Cyclical
518,SYTA,Technology
519,WSM,Consumer Cyclical
520,OXLC,Financial Services
521,EYPT,Healthcare
522,MPC,Energy
523,ALBT,Real Estate
524,WT,Financial Services
525,EXAS,Healthcare
526,WTBA,Financial Services
527,CRWS,Consumer Cyclical
528,EXEL,Healthcare
529,EZPW,Financial Services
530,F,Consumer Cyclical
531,WWE,Communication Services
532,WY,Real Estate
533,FARM,Consumer Defensive
534,X,Basic Materials
535,MPW,Real Estate
536,ALDX,Healthcare
537,DELL,Technology
538,FCEL,Industrials
539,XOM,Energy
540,MRC,Energy
541,CGBD,Financial Services
542,CGAU,Basic Materials
543,CGC,Healthcare
544,ZBH,Healthcare
545,TANNI,Consumer Cyclical
546,PSTG,Technology
547,FELE,Industrials
548,FARO,Technology
549,ZAZZT,NA
550,ZBZX,NA
551,FGBI,Financial Services
552,FHN,Financial Services
553,MRSN,Healthcare
554,FATE,Healthcare
555,FIS,Technology
556,MRUS,Healthcare
557,FISI,Financial Services
558,FITB,Financial Services
559,TBB,NA
560,FIX,Industrials
561,FIZZ,Consumer Defensive
562,ZEST,Energy
563,FLIC,Financial Services
564,FLL,Consumer Cyclical
565,TBNK,Financial Services
566,FLR,Industrials
567,FLS,Industrials
568,IFRX,Healthcare
569,FBIO,Healthcare
570,FLXS,Consumer Cyclical
571,ALLT,Technology
572,MSCI,Financial Services
573,FBMS,Financial Services
574,FMNB,Financial Services
575,FNB,Financial Services
576,FNWD,Financial Services
577,FORD,Consumer Cyclical
578,FOSL,Consumer Cyclical
579,CELH,Consumer Defensive
580,FR,Real Estate
581,FRAF,Financial Services
582,ZKIN,Basic Materials
583,TCMD,Healthcare
584,MS-PK,Financial Services
585,TCOM,Consumer Cyclical
586,FCF,Financial Services
587,TCS,Consumer Cyclical
588,IGZ,NA
589,CHMI,Real Estate
590,PUMP,Energy
591,FUSB,Financial Services
592,ALPP,Industrials
593,FWRD,Industrials
594,FXNC,Financial Services
595,GAM,Financial Services
596,GATX,Industrials
597,GBX,Industrials
598,TDOC,Healthcare
599,GD,Industrials
600,FCPT,Real Estate
601,GE,Industrials
602,GEO,Industrials
603,GEOS,Energy
604,CHSCM,Consumer Defensive
605,CHSCN,Consumer Defensive
606,MTEM,Healthcare
607,GFF,Industrials
608,WTTR,Energy
609,ZTEST,NA
610,GGAL,Financial Services
611,FCUV,Technology
612,ZTO,Industrials
613,ZTS,Healthcare
614,GIB,Technology
615,GIC,Industrials
616,GIGM,Communication Services
617,CIDM,Communication Services
618,GNSS,Technology
619,MTP,Healthcare
620,ALTO,Basic Materials
621,GOLD,Basic Materials
622,ALTR,Technology
623,WMPN,Financial Services
624,GPK,Consumer Cyclical
625,PAYC,Technology
626,GRC,Industrials
627,OPGN,Healthcare
628,RDIB,Communication Services
629,PCTY,Technology
630,ZXZZT,NA
631,GS,Financial Services
632,GSK,Healthcare
633,GT,Consumer Cyclical
634,FIVN,Technology
635,ZYME,Healthcare
636,MTSI,Technology
637,ZYXI,Healthcare
638,PYR,Industrials
639,CIM-PA,Real Estate
640,GTIM,Consumer Cyclical
641,CIM-PB,Real Estate
642,GTN-A,Communication Services
643,TNET,Industrials
644,ROL,Consumer Cyclical
645,GTY,Real Estate
646,GWW,Industrials
647,CIO,Real Estate
648,CIO-PA,Real Estate
649,HAE,Healthcare
650,HAIN,Consumer Defensive
651,HAL,Energy
652,HALL,Financial Services
653,MAV,Financial Services
654,AMBA,Technology
655,AMBC,Financial Services
656,HBAN,Financial Services
657,TRNS,Industrials
658,TM,Consumer Cyclical
659,ASAP,Technology
660,QD,Financial Services
661,HIFS,Financial Services
662,HIW,Real Estate
663,CKPT,Healthcare
664,HMC,Consumer Cyclical
665,HMNF,Financial Services
666,HMY,Basic Materials
667,HOLX,Healthcare
668,HON,Industrials
669,MWA,Industrials
670,HOPE,Financial Services
671,HP,Energy
672,HQH,Financial Services
673,HRL,Consumer Defensive
674,HRTX,Healthcare
675,HSII,Industrials
676,HSKA,Healthcare
677,HSTM,Healthcare
678,HSY,Consumer Defensive
679,GNE-PA,Utilities
680,HTLD,Industrials
681,HTLF,Financial Services
682,HURC,Industrials
683,HVT,Consumer Cyclical
684,QLYS,Technology
685,IART,Healthcare
686,IBCP,Financial Services
687,CLIR,Industrials
688,IBM,Technology
689,ICCC,Healthcare
690,INFN,Technology
691,TGTX,Healthcare
692,CLMT,Energy
693,GENE,Healthcare
694,IDXX,Healthcare
695,FFWM,Financial Services
696,IEP,Industrials
697,AMPY,Energy
698,IFF,Basic Materials
699,AMRC,Industrials
700,AMRK,Financial Services
701,IGT,Consumer Cyclical
702,FGEN,Healthcare
703,AMRS,Basic Materials
704,AMRX,Healthcare
705,QRTEA,Consumer Cyclical
706,QRVO,Technology
707,NAAS,Consumer Cyclical
708,FGH,Consumer Cyclical
709,INM,Healthcare
710,IIIN,Industrials
711,QTWO,Technology
712,ILMN,Healthcare
713,IMAX,Communication Services
714,QUBT,Technology
715,IMBI,Consumer Cyclical
716,AMWD,Consumer Cyclical
717,IMNN,Healthcare
718,INDT,Real Estate
719,NAOV,Healthcare
720,INGR,Consumer Defensive
721,INO,Healthcare
722,ANAB,Healthcare
723,INT,Energy
724,INTU,Technology
725,IP,Consumer Cyclical
726,IRIX,Healthcare
727,FIBK,Financial Services
728,ISIG,Communication Services
729,ISRG,Healthcare
730,TIGO,Communication Services
731,ITT,Industrials
732,IVAC,Industrials
733,INVE,Technology
734,IX,Financial Services
735,JACK,Consumer Cyclical
736,JAN,Industrials
737,JBHT,Industrials
738,JBSS,Consumer Defensive
739,JEF,Financial Services
740,LGI,Financial Services
741,IONM,Healthcare
742,JLL,Real Estate
743,JNJ,Healthcare
744,IPA,Healthcare
745,TIPT,Financial Services
746,JPM,Financial Services
747,CMRX,Healthcare
748,CMS-PB,Utilities
749,K,Consumer Defensive
750,FCNCA,Financial Services
751,TITN,Industrials
752,KBH,Consumer Cyclical
753,VRTV,Industrials
754,ESEA,Industrials
755,ARKO,Consumer Cyclical
756,DEA,Real Estate
757,IPI,Basic Materials
758,KF,Financial Services
759,RBBN,Communication Services
760,RBC,Industrials
761,RMAX,Real Estate
762,PJT,Financial Services
763,KGC,Basic Materials
764,KIM,Real Estate
765,RBCN,Technology
766,KLIC,Technology
767,NCTY,Communication Services
768,KMB,Consumer Defensive
769,BBDC,Financial Services
770,WD,Financial Services
771,IPWR,Industrials
772,KMT,Industrials
773,IPX,Basic Materials
774,CNET,Communication Services
775,KO,Consumer Defensive
776,NDAQ,Financial Services
777,CNFR,Financial Services
778,AA,Basic Materials
779,KOPN,Technology
780,YUMC,Consumer Cyclical
781,KRO,Basic Materials
782,RC,Real Estate
783,HBM,Basic Materials
784,GNK,Industrials
785,STNG,Energy
786,HIG,Financial Services
787,RCAT,Technology
788,ALSN,Consumer Cyclical
789,KSS,Consumer Cyclical
790,UAN,Basic Materials
791,SII,Financial Services
792,KTCC,Technology
793,KTOS,Industrials
794,CNS,Financial Services
795,BVH,Consumer Cyclical
796,RYI,Industrials
797,TROX,Basic Materials
798,LAKE,Consumer Cyclical
799,FLNT,Communication Services
800,LBAI,Financial Services
801,LBC,Financial Services
802,RCKT,Healthcare
803,LCI,Healthcare
804,FANG,Energy
805,LCNB,Financial Services
806,FRME,Financial Services
807,IRON,Healthcare
808,IROQ,Financial Services
809,HBB,Consumer Cyclical
810,OUT,Real Estate
811,LEE,Communication Services
812,IRT,Real Estate
813,NEP,Utilities
814,HOG,Consumer Cyclical
815,LFCR,Healthcare
816,LGND,Healthcare
817,LH,Healthcare
818,LHX,Industrials
819,LII,Industrials
