symbol,date,open,low,high,close,adjClose,volume
8270.SR,12/31/2019,19.24,18.9,19.360001,19.219999,19.219999,528706
VMOT,12/31/2019,24.82,24.7766,24.93,24.93,24.190815,15812
2370.SR,12/31/2019,9.48,9.39,9.58,9.46,9.46,784845
AOBC,12/31/2019,9.22,9.19,9.36,9.28,9.28,550800
2371.TW,12/31/2019,22.25,21,22.450001,21,21,15707322
LMIYX,12/31/2019,15.49,15.49,15.49,15.49,12.220747,0
SJMHF,12/31/2019,1.173560429,1.173560429,1.173560429,1.173560429,1.173333,0
LMLLF,12/31/2019,0.02546,0.02546,0.02546,0.02546,0.02546,0
LMLP,12/31/2019,17.7,17.7,17.8116,17.8,17.799999,2090
AMRB,12/31/2019,15,14.87,15,14.87,14.87,1703
2373.TW,12/31/2019,90,90,90.199997,90.099998,73.716499,17855
RELX,12/31/2019,25.17,25.16,25.29,25.27,23.472525,139641
SJNK,12/31/2019,26.9,26.9,26.95,26.94,22.948191,2141778
GTCH.CN,12/31/2019,0.12,0.12,0.12,0.12,0.12,2000
BOLSAA.MX,12/31/2019,41.950001,41.950001,41.950001,41.950001,36.317783,0
AMRN,12/31/2019,20.84,20.78,21.67,21.44,21.440001,5566518
REOP,12/31/2019,36.5,36.5,36.5,36.5,36.5,0
GHG.L,12/31/2019,130.5,123,134.5,123,123,87872
8279.HK,12/31/2019,0.365,0.355,0.37,0.365,0.365,9172000
LMMFF,12/31/2019,0.03,0.03,0.03,0.03,0.03,0
2376.TW,12/31/2019,50,49.700001,50,49.700001,40.091663,5600330
LMNL,12/31/2019,92,82,92,83.8,83.800003,610
VMS.AX,12/31/2019,0.019,0.019,0.02,0.02,0.02,1602183
SJPD.AS,12/31/2019,5.4495,5.4495,5.4509,5.4509,5.4509,0
SJPE.AS,12/31/2019,5.2941,5.2929,5.2941,5.2929,5.2929,0
2377.TW,12/31/2019,86.900002,85.800003,87.300003,86.699997,73.467278,3960960
8280.HK,12/31/2019,0.054,0.054,0.054,0.054,0.054,2000
82811.HK,12/31/2019,14.58,14.58,14.58,14.58,14.58,0
ROYT,12/31/2019,0.56,0.5,0.5999,0.5294,0.526538,3718076
AMSWA,12/31/2019,14.95,14.81,15.01,14.88,13.767161,41939
RBS,12/31/2019,6.37,6.355,6.44,6.44,6.17756,873237
BOM,12/31/2019,7.985,7.985,7.985,7.985,7.985,0
AMT,12/31/2019,228.97,227.485,229.86,229.82,215.523178,1208681
82822.HK,12/31/2019,13.66,13.66,13.66,13.66,13.66,0
2380.HK,12/31/2019,1.68,1.66,1.68,1.67,1.385513,8509776
2380.SR,12/31/2019,21.5,21.4,21.719999,21.66,21.66,914748
CSWCL,12/31/2019,26.1,26,26.15,26.120001,24.614048,2200
GTEC,12/31/2019,5,5,5.0693,5,5,5890
VMVAX,12/31/2019,57.62970894,57.62970894,57.62970894,57.62970894,57.677055,0
VMVFX,12/31/2019,12.0228764,12.0228764,12.0228764,12.0228764,13.114662,0
8283.HK,12/31/2019,0.425,0.4,0.44,0.405,0.405,910000
OSP.TO,12/31/2019,1.41,1.41,1.41,1.41,1.385856,0
VN8.AX,12/31/2019,0.1,0.1,0.1,0.1,0.1,0
BOMH,12/31/2019,1,1,1,1,1,0
GTEH,12/31/2019,0.0013,0.0011,0.0013,0.0012,0.0012,963742
AMTY,12/31/2019,0.02,0.02,0.02,0.02,0.02,204500
OSRS,12/31/2019,0.00001,0.00001,0.00001,0.00001,0.00001,0
VNCE,12/31/2019,17.22,16.87,17.55,17.31,17.309999,46969
2383.HK,12/31/2019,1.26,1.22,1.27,1.26,1.26,424000
OSS,12/31/2019,1.89,1.84,2.06,2.02,2.02,37828
SK3.IR,12/31/2019,34.200001,34.080002,34.400002,34.259998,30.046385,94077
2383.TW,12/31/2019,136.5,135.5,138.5,137,120.950264,5416714
8286.HK,12/31/2019,0.179,0.179,0.179,0.179,0.179,0
LMRKN,12/31/2019,26.0791,26.05,26.0832,26.0502,26.0502,1177
GTG.AX,12/31/2019,0.005,0.005,0.006,0.0055,0.0055,1966666
AMX,12/31/2019,16.03,15.96,16.125,16,14.857524,1078049
VNE,12/31/2019,15.45,15.3,15.94,15.62,15.62,289348
8290.HK,12/31/2019,0.033,0.033,0.033,0.033,0.033,0
8293.HK,12/31/2019,0.058,0.058,0.059,0.058,0.058,415000
8295.HK,12/31/2019,0.81,0.75,0.82,0.79,0.79,1320000
8297.HK,12/31/2019,0.08,0.08,0.08,0.08,0.08,0
GTGEF,12/31/2019,0.072,0.072,0.072,0.072,0.072,0
LMR.V,12/31/2019,0.03,0.03,0.03,0.03,0.03,0
OSTIY,12/31/2019,17.42,17.42,17.42,17.42,14.769338,0
2388.HK,12/31/2019,27.25,26.9,27.4,27.049999,23.363962,5202496
AMZN,12/31/2019,92.1,91.6115,92.663,92.392,92.391998,50207600
GTHP,12/31/2019,0.1351,0.1044,0.1974,0.133,0.133,145297
OSTK,12/31/2019,6.88,6.75,7.12,7.05,7.05,1487529
8299.TWO,12/31/2019,339,337,346,340.5,282.018372,1511891
2388.TW,12/31/2019,35.75,35.75,36.299999,35.849998,34.713524,1541142
GTHR,12/31/2019,0.007,0.007,0.007,0.007,0.007,3
LMSC,12/31/2019,0.55,0.55,0.55,0.55,0.55,8
GTHX,12/31/2019,26.23,26.23,27.28,26.43,26.43,450277
GTI.AX,12/31/2019,0.042,0.042,0.042,0.042,0.042,0
8300.SR,12/31/2019,18.459999,18.200001,18.459999,18.299999,18.299999,77965
ANDE,12/31/2019,25.09,24.96,25.51,25.28,23.305584,145686
83012.HK,12/31/2019,18.559999,18.559999,18.559999,18.559999,18.559999,0
ANF,12/31/2019,17.01,16.78,17.37,17.29,17.039965,1626710
RGCO,12/31/2019,28.29,28.29,28.58,28.58,25.746946,5624
CTTH,12/31/2019,0.165,0.165,0.2,0.2,0.2,21268
GTIP,12/31/2019,52.35,52.34,52.37,52.35,46.986038,967
8305.HK,12/31/2019,0.085,0.085,0.085,0.085,0.085,0
VNM,12/31/2019,15.93,15.88,15.99,15.99,15.700106,94957
2393.HK,12/31/2019,1.5,1.48,1.5,1.49,1.49,25000
8308.HK,12/31/2019,0.92,0.92,0.92,0.92,0.92,0
GTK.AX,12/31/2019,3.64,3.56,3.64,3.61,3.61,4219
SKC.AX,12/31/2019,3.8,3.64,3.82,3.64,3.458196,158427
2395.TW,12/31/2019,278.671082,274.125061,279.125671,274.579651,256.516479,351957
GTKP,12/31/2019,0.0001,0.0001,0.0001,0.0001,0.0001,99137
SKCBY,12/31/2019,9.81,9.81,9.81,9.81,9.81,0
SKC.NZ,12/31/2019,3.95,3.94,4.02,3.97,3.774694,160365
2399.HK,12/31/2019,2.27,2.15,2.35,2.35,2.35,403000
83100.HK,12/31/2019,42.400002,42.400002,42.400002,42.400002,42.400002,0
RGEN,12/31/2019,91.83,90.8335,92.83,92.5,92.5,307297
2399.TW,12/31/2019,12.2,12.05,12.25,12.1,11.007689,780075
